B_dom	B_cod	A_dom	A_cod	count	probability
Preseason_Picks	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	Grupo_Herdez	134	0.134
Preseason_Picks	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	WITH_RESPECT	171	0.171
Preseason_Picks	Mark_Abramson_MEDIANEWS	puerto	SIGNIFICANCE_OF	58	0.058
Preseason_Picks	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	Grupo_Herdez	166	0.166
Preseason_Picks	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	46	0.046
Preseason_Picks	Mark_Abramson_MEDIANEWS	WITH_RESPECT	visit_www.ewga.com	170	0.17
Preseason_Picks	Mark_Abramson_MEDIANEWS	WITH_RESPECT	Grupo_Herdez	12	0.012
Preseason_Picks	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	Grupo_Herdez	4	0.004
Preseason_Picks	Mark_Abramson_MEDIANEWS	puerto	Grupo_Herdez	5	0.005
Preseason_Picks	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	visit_www.ewga.com	7	0.007
Preseason_Picks	Mark_Abramson_MEDIANEWS	Grupo_Herdez	SIGNIFICANCE_OF	35	0.035
Preseason_Picks	Mark_Abramson_MEDIANEWS	WITH_RESPECT	puerto	6	0.006
Preseason_Picks	Mark_Abramson_MEDIANEWS	silks_velvets	Mark_Abramson_MEDIANEWS	7	0.007
Preseason_Picks	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	puerto	25	0.025
Preseason_Picks	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	51	0.051
Preseason_Picks	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	Grupo_Herdez	22	0.022
Preseason_Picks	Mark_Abramson_MEDIANEWS	Grupo_Herdez	Mark_Abramson_MEDIANEWS	8	0.008
Preseason_Picks	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	8	0.008
Preseason_Picks	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	4	0.004
Preseason_Picks	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	WITH_RESPECT	2	0.002
Preseason_Picks	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	4	0.004
Preseason_Picks	Mark_Abramson_MEDIANEWS	silks_velvets	Grupo_Herdez	3	0.003
Preseason_Picks	Mark_Abramson_MEDIANEWS	WITH_RESPECT	E_CigaretteDirect_LLC	1	0.001
Preseason_Picks	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	SIGNIFICANCE_OF	8	0.008
Preseason_Picks	Mark_Abramson_MEDIANEWS	WITH_RESPECT	silks_velvets	1	0.001
Preseason_Picks	Mark_Abramson_MEDIANEWS	puerto	WITH_RESPECT	7	0.007
Preseason_Picks	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	silks_velvets	1	0.001
Preseason_Picks	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	6	0.006
Preseason_Picks	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	silks_velvets	2	0.002
Preseason_Picks	Mark_Abramson_MEDIANEWS	puerto	Mark_Abramson_MEDIANEWS	1	0.001
Preseason_Picks	Mark_Abramson_MEDIANEWS	silks_velvets	WITH_RESPECT	2	0.002
Preseason_Picks	Mark_Abramson_MEDIANEWS	NA	NA	23	0.023
Has_Changed_Forever	Preseason_Picks	sliced_ham	Mark_Abramson_MEDIANEWS	187	0.187
Has_Changed_Forever	Preseason_Picks	sliced_ham	visit_www.ewga.com	189	0.189
Has_Changed_Forever	Preseason_Picks	sliced_ham	puerto	71	0.071
Has_Changed_Forever	Preseason_Picks	sliced_ham	SIGNIFICANCE_OF	212	0.212
Has_Changed_Forever	Preseason_Picks	sliced_ham	WITH_RESPECT	190	0.19
Has_Changed_Forever	Preseason_Picks	sliced_ham	Grupo_Herdez	43	0.043
Has_Changed_Forever	Preseason_Picks	sliced_ham	silks_velvets	12	0.012
Has_Changed_Forever	Preseason_Picks	sliced_ham	E_CigaretteDirect_LLC	73	0.073
Has_Changed_Forever	Preseason_Picks	NA	NA	23	0.023
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	Grupo_Herdez	346	0.346
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	WITH_RESPECT	182	0.182
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	SIGNIFICANCE_OF	101	0.101
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	E_CigaretteDirect_LLC	55	0.055
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	visit_www.ewga.com	181	0.181
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	puerto	31	0.031
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	Mark_Abramson_MEDIANEWS	77	0.077
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	silks_velvets	4	0.004
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	NA	NA	23	0.023
