B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	SIGNIFICANCE_OF	156	0.156
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	visit_www.ewga.com	389	0.389
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	WITH_RESPECT	191	0.191
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	puerto	60	0.06
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	Mark_Abramson_MEDIANEWS	68	0.068
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	E_CigaretteDirect_LLC	74	0.074
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	silks_velvets	8	0.008
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	Grupo_Herdez	22	0.022
Has_Changed_Forever	visit_www.ewga.com	NA	NA	32	0.032
Has_Changed_Forever	Preseason_Picks	sliced_ham	Grupo_Herdez	77	0.077
Has_Changed_Forever	Preseason_Picks	sliced_ham	WITH_RESPECT	363	0.363
Has_Changed_Forever	Preseason_Picks	sliced_ham	E_CigaretteDirect_LLC	79	0.079
Has_Changed_Forever	Preseason_Picks	sliced_ham	visit_www.ewga.com	177	0.177
Has_Changed_Forever	Preseason_Picks	sliced_ham	SIGNIFICANCE_OF	92	0.092
Has_Changed_Forever	Preseason_Picks	sliced_ham	silks_velvets	13	0.013
Has_Changed_Forever	Preseason_Picks	sliced_ham	Mark_Abramson_MEDIANEWS	84	0.084
Has_Changed_Forever	Preseason_Picks	sliced_ham	puerto	83	0.083
Has_Changed_Forever	Preseason_Picks	NA	NA	32	0.032
Preseason_Picks	visit_www.ewga.com	Grupo_Herdez	SIGNIFICANCE_OF	58	0.058
Preseason_Picks	visit_www.ewga.com	WITH_RESPECT	visit_www.ewga.com	363	0.363
Preseason_Picks	visit_www.ewga.com	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	25	0.025
Preseason_Picks	visit_www.ewga.com	visit_www.ewga.com	WITH_RESPECT	165	0.165
Preseason_Picks	visit_www.ewga.com	visit_www.ewga.com	SIGNIFICANCE_OF	6	0.006
Preseason_Picks	visit_www.ewga.com	SIGNIFICANCE_OF	puerto	60	0.06
Preseason_Picks	visit_www.ewga.com	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	47	0.047
Preseason_Picks	visit_www.ewga.com	silks_velvets	WITH_RESPECT	5	0.005
Preseason_Picks	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	55	0.055
Preseason_Picks	visit_www.ewga.com	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	12	0.012
Preseason_Picks	visit_www.ewga.com	puerto	SIGNIFICANCE_OF	65	0.065
Preseason_Picks	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	silks_velvets	6	0.006
Preseason_Picks	visit_www.ewga.com	puerto	WITH_RESPECT	17	0.017
Preseason_Picks	visit_www.ewga.com	SIGNIFICANCE_OF	Grupo_Herdez	9	0.009
Preseason_Picks	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	Grupo_Herdez	13	0.013
Preseason_Picks	visit_www.ewga.com	E_CigaretteDirect_LLC	visit_www.ewga.com	4	0.004
Preseason_Picks	visit_www.ewga.com	Grupo_Herdez	Mark_Abramson_MEDIANEWS	13	0.013
Preseason_Picks	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	10	0.01
Preseason_Picks	visit_www.ewga.com	silks_velvets	SIGNIFICANCE_OF	2	0.002
Preseason_Picks	visit_www.ewga.com	SIGNIFICANCE_OF	visit_www.ewga.com	9	0.009
Preseason_Picks	visit_www.ewga.com	Grupo_Herdez	visit_www.ewga.com	2	0.002
Preseason_Picks	visit_www.ewga.com	puerto	visit_www.ewga.com	1	0.001
Preseason_Picks	visit_www.ewga.com	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	2	0.002
Preseason_Picks	visit_www.ewga.com	Grupo_Herdez	WITH_RESPECT	1	0.001
Preseason_Picks	visit_www.ewga.com	E_CigaretteDirect_LLC	WITH_RESPECT	3	0.003
Preseason_Picks	visit_www.ewga.com	visit_www.ewga.com	E_CigaretteDirect_LLC	4	0.004
Preseason_Picks	visit_www.ewga.com	silks_velvets	Mark_Abramson_MEDIANEWS	6	0.006
Preseason_Picks	visit_www.ewga.com	Grupo_Herdez	E_CigaretteDirect_LLC	3	0.003
Preseason_Picks	visit_www.ewga.com	SIGNIFICANCE_OF	silks_velvets	2	0.002
Preseason_Picks	visit_www.ewga.com	NA	NA	32	0.032
