B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	visit_www.ewga.com	20	0.02
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	WITH_RESPECT	489	0.489
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	puerto	138	0.138
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	Grupo_Herdez	156	0.156
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	Mark_Abramson_MEDIANEWS	35	0.035
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	E_CigaretteDirect_LLC	70	0.07
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	SIGNIFICANCE_OF	16	0.016
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	silks_velvets	27	0.027
Has_Changed_Forever	SIGNIFICANCE_OF	NA	NA	49	0.049
Has_Changed_Forever	Latest_Advancements	sliced_ham	E_CigaretteDirect_LLC	129	0.129
Has_Changed_Forever	Latest_Advancements	sliced_ham	Grupo_Herdez	213	0.213
Has_Changed_Forever	Latest_Advancements	sliced_ham	WITH_RESPECT	224	0.224
Has_Changed_Forever	Latest_Advancements	sliced_ham	puerto	136	0.136
Has_Changed_Forever	Latest_Advancements	sliced_ham	silks_velvets	50	0.05
Has_Changed_Forever	Latest_Advancements	sliced_ham	Mark_Abramson_MEDIANEWS	84	0.084
Has_Changed_Forever	Latest_Advancements	sliced_ham	visit_www.ewga.com	52	0.052
Has_Changed_Forever	Latest_Advancements	sliced_ham	SIGNIFICANCE_OF	63	0.063
Has_Changed_Forever	Latest_Advancements	NA	NA	49	0.049
SIGNIFICANCE_OF	Latest_Advancements	visit_www.ewga.com	E_CigaretteDirect_LLC	8	0.008
SIGNIFICANCE_OF	Latest_Advancements	WITH_RESPECT	Grupo_Herdez	177	0.177
SIGNIFICANCE_OF	Latest_Advancements	puerto	WITH_RESPECT	121	0.121
SIGNIFICANCE_OF	Latest_Advancements	WITH_RESPECT	puerto	133	0.133
SIGNIFICANCE_OF	Latest_Advancements	Grupo_Herdez	WITH_RESPECT	67	0.067
SIGNIFICANCE_OF	Latest_Advancements	WITH_RESPECT	E_CigaretteDirect_LLC	114	0.114
SIGNIFICANCE_OF	Latest_Advancements	Mark_Abramson_MEDIANEWS	Grupo_Herdez	30	0.03
SIGNIFICANCE_OF	Latest_Advancements	WITH_RESPECT	silks_velvets	44	0.044
SIGNIFICANCE_OF	Latest_Advancements	Grupo_Herdez	Mark_Abramson_MEDIANEWS	54	0.054
SIGNIFICANCE_OF	Latest_Advancements	E_CigaretteDirect_LLC	visit_www.ewga.com	27	0.027
SIGNIFICANCE_OF	Latest_Advancements	SIGNIFICANCE_OF	Grupo_Herdez	6	0.006
SIGNIFICANCE_OF	Latest_Advancements	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	15	0.015
SIGNIFICANCE_OF	Latest_Advancements	E_CigaretteDirect_LLC	WITH_RESPECT	22	0.022
SIGNIFICANCE_OF	Latest_Advancements	SIGNIFICANCE_OF	silks_velvets	1	0.001
SIGNIFICANCE_OF	Latest_Advancements	puerto	SIGNIFICANCE_OF	13	0.013
SIGNIFICANCE_OF	Latest_Advancements	puerto	visit_www.ewga.com	2	0.002
SIGNIFICANCE_OF	Latest_Advancements	visit_www.ewga.com	WITH_RESPECT	4	0.004
SIGNIFICANCE_OF	Latest_Advancements	Grupo_Herdez	visit_www.ewga.com	5	0.005
SIGNIFICANCE_OF	Latest_Advancements	Grupo_Herdez	SIGNIFICANCE_OF	27	0.027
SIGNIFICANCE_OF	Latest_Advancements	silks_velvets	WITH_RESPECT	10	0.01
SIGNIFICANCE_OF	Latest_Advancements	visit_www.ewga.com	SIGNIFICANCE_OF	5	0.005
SIGNIFICANCE_OF	Latest_Advancements	Mark_Abramson_MEDIANEWS	silks_velvets	4	0.004
SIGNIFICANCE_OF	Latest_Advancements	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	3	0.003
SIGNIFICANCE_OF	Latest_Advancements	silks_velvets	Mark_Abramson_MEDIANEWS	15	0.015
SIGNIFICANCE_OF	Latest_Advancements	WITH_RESPECT	visit_www.ewga.com	17	0.017
SIGNIFICANCE_OF	Latest_Advancements	WITH_RESPECT	Mark_Abramson_MEDIANEWS	4	0.004
SIGNIFICANCE_OF	Latest_Advancements	Grupo_Herdez	E_CigaretteDirect_LLC	2	0.002
SIGNIFICANCE_OF	Latest_Advancements	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	1	0.001
SIGNIFICANCE_OF	Latest_Advancements	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	6	0.006
SIGNIFICANCE_OF	Latest_Advancements	silks_velvets	SIGNIFICANCE_OF	2	0.002
SIGNIFICANCE_OF	Latest_Advancements	puerto	Mark_Abramson_MEDIANEWS	2	0.002
SIGNIFICANCE_OF	Latest_Advancements	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	5	0.005
SIGNIFICANCE_OF	Latest_Advancements	Grupo_Herdez	silks_velvets	1	0.001
SIGNIFICANCE_OF	Latest_Advancements	SIGNIFICANCE_OF	puerto	3	0.003
SIGNIFICANCE_OF	Latest_Advancements	SIGNIFICANCE_OF	visit_www.ewga.com	1	0.001
SIGNIFICANCE_OF	Latest_Advancements	NA	NA	49	0.049
