B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	silks_velvets	122	0.122
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	WITH_RESPECT	283	0.283
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Mark_Abramson_MEDIANEWS	62	0.062
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	SIGNIFICANCE_OF	54	0.054
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	visit_www.ewga.com	180	0.18
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	puerto	78	0.078
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	E_CigaretteDirect_LLC	102	0.102
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Grupo_Herdez	86	0.086
Has_Changed_Forever	rookie_Alex_Prugh	NA	NA	33	0.033
Has_Changed_Forever	BOB_DROGIN	sliced_ham	WITH_RESPECT	230	0.23
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Grupo_Herdez	375	0.375
Has_Changed_Forever	BOB_DROGIN	sliced_ham	silks_velvets	108	0.108
Has_Changed_Forever	BOB_DROGIN	sliced_ham	E_CigaretteDirect_LLC	107	0.107
Has_Changed_Forever	BOB_DROGIN	sliced_ham	visit_www.ewga.com	42	0.042
Has_Changed_Forever	BOB_DROGIN	sliced_ham	puerto	47	0.047
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Mark_Abramson_MEDIANEWS	37	0.037
Has_Changed_Forever	BOB_DROGIN	sliced_ham	SIGNIFICANCE_OF	21	0.021
Has_Changed_Forever	BOB_DROGIN	NA	NA	33	0.033
rookie_Alex_Prugh	BOB_DROGIN	silks_velvets	WITH_RESPECT	76	0.076
rookie_Alex_Prugh	BOB_DROGIN	WITH_RESPECT	Grupo_Herdez	142	0.142
rookie_Alex_Prugh	BOB_DROGIN	Mark_Abramson_MEDIANEWS	WITH_RESPECT	6	0.006
rookie_Alex_Prugh	BOB_DROGIN	SIGNIFICANCE_OF	Grupo_Herdez	12	0.012
rookie_Alex_Prugh	BOB_DROGIN	WITH_RESPECT	silks_velvets	63	0.063
rookie_Alex_Prugh	BOB_DROGIN	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	11	0.011
rookie_Alex_Prugh	BOB_DROGIN	Mark_Abramson_MEDIANEWS	silks_velvets	23	0.023
rookie_Alex_Prugh	BOB_DROGIN	SIGNIFICANCE_OF	visit_www.ewga.com	10	0.01
rookie_Alex_Prugh	BOB_DROGIN	visit_www.ewga.com	Grupo_Herdez	103	0.103
rookie_Alex_Prugh	BOB_DROGIN	WITH_RESPECT	E_CigaretteDirect_LLC	47	0.047
rookie_Alex_Prugh	BOB_DROGIN	visit_www.ewga.com	E_CigaretteDirect_LLC	41	0.041
rookie_Alex_Prugh	BOB_DROGIN	puerto	Grupo_Herdez	54	0.054
rookie_Alex_Prugh	BOB_DROGIN	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	5	0.005
rookie_Alex_Prugh	BOB_DROGIN	visit_www.ewga.com	silks_velvets	7	0.007
rookie_Alex_Prugh	BOB_DROGIN	Mark_Abramson_MEDIANEWS	Grupo_Herdez	20	0.02
rookie_Alex_Prugh	BOB_DROGIN	visit_www.ewga.com	WITH_RESPECT	12	0.012
rookie_Alex_Prugh	BOB_DROGIN	E_CigaretteDirect_LLC	WITH_RESPECT	52	0.052
rookie_Alex_Prugh	BOB_DROGIN	Grupo_Herdez	WITH_RESPECT	62	0.062
rookie_Alex_Prugh	BOB_DROGIN	silks_velvets	Grupo_Herdez	13	0.013
rookie_Alex_Prugh	BOB_DROGIN	visit_www.ewga.com	puerto	11	0.011
rookie_Alex_Prugh	BOB_DROGIN	silks_velvets	Mark_Abramson_MEDIANEWS	25	0.025
rookie_Alex_Prugh	BOB_DROGIN	WITH_RESPECT	visit_www.ewga.com	9	0.009
rookie_Alex_Prugh	BOB_DROGIN	SIGNIFICANCE_OF	silks_velvets	15	0.015
rookie_Alex_Prugh	BOB_DROGIN	WITH_RESPECT	puerto	21	0.021
rookie_Alex_Prugh	BOB_DROGIN	E_CigaretteDirect_LLC	Grupo_Herdez	31	0.031
rookie_Alex_Prugh	BOB_DROGIN	visit_www.ewga.com	SIGNIFICANCE_OF	3	0.003
rookie_Alex_Prugh	BOB_DROGIN	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	3	0.003
rookie_Alex_Prugh	BOB_DROGIN	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	1	0.001
rookie_Alex_Prugh	BOB_DROGIN	E_CigaretteDirect_LLC	visit_www.ewga.com	11	0.011
rookie_Alex_Prugh	BOB_DROGIN	silks_velvets	SIGNIFICANCE_OF	8	0.008
rookie_Alex_Prugh	BOB_DROGIN	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	3	0.003
rookie_Alex_Prugh	BOB_DROGIN	puerto	SIGNIFICANCE_OF	1	0.001
rookie_Alex_Prugh	BOB_DROGIN	puerto	WITH_RESPECT	21	0.021
rookie_Alex_Prugh	BOB_DROGIN	Mark_Abramson_MEDIANEWS	puerto	4	0.004
rookie_Alex_Prugh	BOB_DROGIN	Grupo_Herdez	E_CigaretteDirect_LLC	3	0.003
rookie_Alex_Prugh	BOB_DROGIN	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	6	0.006
rookie_Alex_Prugh	BOB_DROGIN	Grupo_Herdez	puerto	7	0.007
rookie_Alex_Prugh	BOB_DROGIN	SIGNIFICANCE_OF	puerto	4	0.004
rookie_Alex_Prugh	BOB_DROGIN	Grupo_Herdez	Mark_Abramson_MEDIANEWS	4	0.004
rookie_Alex_Prugh	BOB_DROGIN	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	2	0.002
rookie_Alex_Prugh	BOB_DROGIN	Grupo_Herdez	visit_www.ewga.com	8	0.008
rookie_Alex_Prugh	BOB_DROGIN	SIGNIFICANCE_OF	WITH_RESPECT	1	0.001
rookie_Alex_Prugh	BOB_DROGIN	WITH_RESPECT	Mark_Abramson_MEDIANEWS	1	0.001
rookie_Alex_Prugh	BOB_DROGIN	puerto	Mark_Abramson_MEDIANEWS	1	0.001
rookie_Alex_Prugh	BOB_DROGIN	Grupo_Herdez	SIGNIFICANCE_OF	2	0.002
rookie_Alex_Prugh	BOB_DROGIN	puerto	visit_www.ewga.com	1	0.001
rookie_Alex_Prugh	BOB_DROGIN	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	1	0.001
rookie_Alex_Prugh	BOB_DROGIN	NA	NA	33	0.033
