B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Grupo_Herdez	83	0.083
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	SIGNIFICANCE_OF	48	0.048
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	silks_velvets	169	0.169
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	visit_www.ewga.com	206	0.206
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	puerto	138	0.138
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Mark_Abramson_MEDIANEWS	75	0.075
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	WITH_RESPECT	102	0.102
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	E_CigaretteDirect_LLC	104	0.104
Has_Changed_Forever	rookie_Alex_Prugh	NA	NA	75	0.075
Has_Changed_Forever	Latest_Advancements	sliced_ham	WITH_RESPECT	103	0.103
Has_Changed_Forever	Latest_Advancements	sliced_ham	E_CigaretteDirect_LLC	103	0.103
Has_Changed_Forever	Latest_Advancements	sliced_ham	silks_velvets	234	0.234
Has_Changed_Forever	Latest_Advancements	sliced_ham	puerto	139	0.139
Has_Changed_Forever	Latest_Advancements	sliced_ham	Grupo_Herdez	137	0.137
Has_Changed_Forever	Latest_Advancements	sliced_ham	visit_www.ewga.com	122	0.122
Has_Changed_Forever	Latest_Advancements	sliced_ham	SIGNIFICANCE_OF	44	0.044
Has_Changed_Forever	Latest_Advancements	sliced_ham	Mark_Abramson_MEDIANEWS	43	0.043
Has_Changed_Forever	Latest_Advancements	NA	NA	75	0.075
rookie_Alex_Prugh	Latest_Advancements	Grupo_Herdez	WITH_RESPECT	39	0.039
rookie_Alex_Prugh	Latest_Advancements	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	11	0.011
rookie_Alex_Prugh	Latest_Advancements	silks_velvets	WITH_RESPECT	7	0.007
rookie_Alex_Prugh	Latest_Advancements	visit_www.ewga.com	silks_velvets	119	0.119
rookie_Alex_Prugh	Latest_Advancements	visit_www.ewga.com	puerto	18	0.018
rookie_Alex_Prugh	Latest_Advancements	visit_www.ewga.com	Grupo_Herdez	19	0.019
rookie_Alex_Prugh	Latest_Advancements	puerto	E_CigaretteDirect_LLC	27	0.027
rookie_Alex_Prugh	Latest_Advancements	visit_www.ewga.com	WITH_RESPECT	19	0.019
rookie_Alex_Prugh	Latest_Advancements	Mark_Abramson_MEDIANEWS	puerto	36	0.036
rookie_Alex_Prugh	Latest_Advancements	silks_velvets	visit_www.ewga.com	55	0.055
rookie_Alex_Prugh	Latest_Advancements	puerto	SIGNIFICANCE_OF	3	0.003
rookie_Alex_Prugh	Latest_Advancements	WITH_RESPECT	Grupo_Herdez	45	0.045
rookie_Alex_Prugh	Latest_Advancements	puerto	visit_www.ewga.com	16	0.016
rookie_Alex_Prugh	Latest_Advancements	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	7	0.007
rookie_Alex_Prugh	Latest_Advancements	puerto	Grupo_Herdez	16	0.016
rookie_Alex_Prugh	Latest_Advancements	SIGNIFICANCE_OF	silks_velvets	17	0.017
rookie_Alex_Prugh	Latest_Advancements	silks_velvets	E_CigaretteDirect_LLC	16	0.016
rookie_Alex_Prugh	Latest_Advancements	WITH_RESPECT	E_CigaretteDirect_LLC	25	0.025
rookie_Alex_Prugh	Latest_Advancements	E_CigaretteDirect_LLC	puerto	38	0.038
rookie_Alex_Prugh	Latest_Advancements	puerto	silks_velvets	50	0.05
rookie_Alex_Prugh	Latest_Advancements	Mark_Abramson_MEDIANEWS	silks_velvets	11	0.011
rookie_Alex_Prugh	Latest_Advancements	silks_velvets	Grupo_Herdez	35	0.035
rookie_Alex_Prugh	Latest_Advancements	E_CigaretteDirect_LLC	silks_velvets	21	0.021
rookie_Alex_Prugh	Latest_Advancements	silks_velvets	puerto	41	0.041
rookie_Alex_Prugh	Latest_Advancements	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	1	0.001
rookie_Alex_Prugh	Latest_Advancements	puerto	Mark_Abramson_MEDIANEWS	25	0.025
rookie_Alex_Prugh	Latest_Advancements	SIGNIFICANCE_OF	visit_www.ewga.com	9	0.009
rookie_Alex_Prugh	Latest_Advancements	E_CigaretteDirect_LLC	WITH_RESPECT	27	0.027
rookie_Alex_Prugh	Latest_Advancements	Grupo_Herdez	silks_velvets	7	0.007
rookie_Alex_Prugh	Latest_Advancements	WITH_RESPECT	silks_velvets	9	0.009
rookie_Alex_Prugh	Latest_Advancements	silks_velvets	SIGNIFICANCE_OF	13	0.013
rookie_Alex_Prugh	Latest_Advancements	visit_www.ewga.com	E_CigaretteDirect_LLC	20	0.02
rookie_Alex_Prugh	Latest_Advancements	Grupo_Herdez	SIGNIFICANCE_OF	5	0.005
rookie_Alex_Prugh	Latest_Advancements	WITH_RESPECT	Mark_Abramson_MEDIANEWS	4	0.004
rookie_Alex_Prugh	Latest_Advancements	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	6	0.006
rookie_Alex_Prugh	Latest_Advancements	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	2	0.002
rookie_Alex_Prugh	Latest_Advancements	Grupo_Herdez	Mark_Abramson_MEDIANEWS	6	0.006
rookie_Alex_Prugh	Latest_Advancements	silks_velvets	Mark_Abramson_MEDIANEWS	2	0.002
rookie_Alex_Prugh	Latest_Advancements	Mark_Abramson_MEDIANEWS	WITH_RESPECT	8	0.008
rookie_Alex_Prugh	Latest_Advancements	E_CigaretteDirect_LLC	visit_www.ewga.com	4	0.004
rookie_Alex_Prugh	Latest_Advancements	WITH_RESPECT	visit_www.ewga.com	15	0.015
rookie_Alex_Prugh	Latest_Advancements	Mark_Abramson_MEDIANEWS	Grupo_Herdez	9	0.009
rookie_Alex_Prugh	Latest_Advancements	E_CigaretteDirect_LLC	Grupo_Herdez	7	0.007
rookie_Alex_Prugh	Latest_Advancements	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	3	0.003
rookie_Alex_Prugh	Latest_Advancements	Grupo_Herdez	puerto	3	0.003
rookie_Alex_Prugh	Latest_Advancements	SIGNIFICANCE_OF	WITH_RESPECT	2	0.002
rookie_Alex_Prugh	Latest_Advancements	Grupo_Herdez	visit_www.ewga.com	21	0.021
rookie_Alex_Prugh	Latest_Advancements	WITH_RESPECT	puerto	2	0.002
rookie_Alex_Prugh	Latest_Advancements	SIGNIFICANCE_OF	Grupo_Herdez	6	0.006
rookie_Alex_Prugh	Latest_Advancements	Grupo_Herdez	E_CigaretteDirect_LLC	2	0.002
rookie_Alex_Prugh	Latest_Advancements	visit_www.ewga.com	SIGNIFICANCE_OF	8	0.008
rookie_Alex_Prugh	Latest_Advancements	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	2	0.002
rookie_Alex_Prugh	Latest_Advancements	WITH_RESPECT	SIGNIFICANCE_OF	2	0.002
rookie_Alex_Prugh	Latest_Advancements	SIGNIFICANCE_OF	puerto	1	0.001
rookie_Alex_Prugh	Latest_Advancements	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	2	0.002
rookie_Alex_Prugh	Latest_Advancements	puerto	WITH_RESPECT	1	0.001
rookie_Alex_Prugh	Latest_Advancements	NA	NA	75	0.075
