B_dom	B_cod	A_dom	A_cod	count	probability
visit_www.ewga.com	BOB_DROGIN	visit_www.ewga.com	WITH_RESPECT	294	0.294
visit_www.ewga.com	BOB_DROGIN	Mark_Abramson_MEDIANEWS	Grupo_Herdez	82	0.082
visit_www.ewga.com	BOB_DROGIN	WITH_RESPECT	visit_www.ewga.com	169	0.169
visit_www.ewga.com	BOB_DROGIN	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	2	0.002
visit_www.ewga.com	BOB_DROGIN	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	25	0.025
visit_www.ewga.com	BOB_DROGIN	SIGNIFICANCE_OF	puerto	39	0.039
visit_www.ewga.com	BOB_DROGIN	SIGNIFICANCE_OF	Grupo_Herdez	246	0.246
visit_www.ewga.com	BOB_DROGIN	visit_www.ewga.com	E_CigaretteDirect_LLC	3	0.003
visit_www.ewga.com	BOB_DROGIN	Grupo_Herdez	Mark_Abramson_MEDIANEWS	7	0.007
visit_www.ewga.com	BOB_DROGIN	puerto	SIGNIFICANCE_OF	27	0.027
visit_www.ewga.com	BOB_DROGIN	WITH_RESPECT	puerto	9	0.009
visit_www.ewga.com	BOB_DROGIN	WITH_RESPECT	E_CigaretteDirect_LLC	2	0.002
visit_www.ewga.com	BOB_DROGIN	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	29	0.029
visit_www.ewga.com	BOB_DROGIN	Mark_Abramson_MEDIANEWS	silks_velvets	2	0.002
visit_www.ewga.com	BOB_DROGIN	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	6	0.006
visit_www.ewga.com	BOB_DROGIN	Grupo_Herdez	SIGNIFICANCE_OF	14	0.014
visit_www.ewga.com	BOB_DROGIN	visit_www.ewga.com	SIGNIFICANCE_OF	14	0.014
visit_www.ewga.com	BOB_DROGIN	silks_velvets	Mark_Abramson_MEDIANEWS	2	0.002
visit_www.ewga.com	BOB_DROGIN	WITH_RESPECT	Grupo_Herdez	5	0.005
visit_www.ewga.com	BOB_DROGIN	SIGNIFICANCE_OF	visit_www.ewga.com	2	0.002
visit_www.ewga.com	BOB_DROGIN	E_CigaretteDirect_LLC	Grupo_Herdez	6	0.006
visit_www.ewga.com	BOB_DROGIN	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	5	0.005
visit_www.ewga.com	BOB_DROGIN	visit_www.ewga.com	Grupo_Herdez	2	0.002
visit_www.ewga.com	BOB_DROGIN	E_CigaretteDirect_LLC	visit_www.ewga.com	1	0.001
visit_www.ewga.com	BOB_DROGIN	WITH_RESPECT	silks_velvets	1	0.001
visit_www.ewga.com	BOB_DROGIN	NA	NA	6	0.006
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	visit_www.ewga.com	315	0.315
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	Mark_Abramson_MEDIANEWS	113	0.113
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	WITH_RESPECT	186	0.186
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	E_CigaretteDirect_LLC	37	0.037
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	SIGNIFICANCE_OF	293	0.293
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	Grupo_Herdez	21	0.021
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	puerto	27	0.027
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	silks_velvets	2	0.002
Has_Changed_Forever	visit_www.ewga.com	NA	NA	6	0.006
Has_Changed_Forever	BOB_DROGIN	sliced_ham	WITH_RESPECT	294	0.294
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Grupo_Herdez	341	0.341
Has_Changed_Forever	BOB_DROGIN	sliced_ham	visit_www.ewga.com	172	0.172
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Mark_Abramson_MEDIANEWS	36	0.036
Has_Changed_Forever	BOB_DROGIN	sliced_ham	puerto	48	0.048
Has_Changed_Forever	BOB_DROGIN	sliced_ham	E_CigaretteDirect_LLC	40	0.04
Has_Changed_Forever	BOB_DROGIN	sliced_ham	SIGNIFICANCE_OF	60	0.06
Has_Changed_Forever	BOB_DROGIN	sliced_ham	silks_velvets	3	0.003
Has_Changed_Forever	BOB_DROGIN	NA	NA	6	0.006
