B_dom	B_cod	A_dom	A_cod	count	probability
visit_www.ewga.com	Preseason_Picks	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	43	0.043
visit_www.ewga.com	Preseason_Picks	visit_www.ewga.com	silks_velvets	3	0.003
visit_www.ewga.com	Preseason_Picks	WITH_RESPECT	puerto	16	0.016
visit_www.ewga.com	Preseason_Picks	SIGNIFICANCE_OF	puerto	68	0.068
visit_www.ewga.com	Preseason_Picks	SIGNIFICANCE_OF	Grupo_Herdez	40	0.04
visit_www.ewga.com	Preseason_Picks	WITH_RESPECT	visit_www.ewga.com	259	0.259
visit_www.ewga.com	Preseason_Picks	visit_www.ewga.com	WITH_RESPECT	291	0.291
visit_www.ewga.com	Preseason_Picks	visit_www.ewga.com	SIGNIFICANCE_OF	5	0.005
visit_www.ewga.com	Preseason_Picks	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	82	0.082
visit_www.ewga.com	Preseason_Picks	Mark_Abramson_MEDIANEWS	Grupo_Herdez	15	0.015
visit_www.ewga.com	Preseason_Picks	Grupo_Herdez	SIGNIFICANCE_OF	9	0.009
visit_www.ewga.com	Preseason_Picks	visit_www.ewga.com	E_CigaretteDirect_LLC	5	0.005
visit_www.ewga.com	Preseason_Picks	WITH_RESPECT	silks_velvets	7	0.007
visit_www.ewga.com	Preseason_Picks	puerto	SIGNIFICANCE_OF	44	0.044
visit_www.ewga.com	Preseason_Picks	Grupo_Herdez	Mark_Abramson_MEDIANEWS	11	0.011
visit_www.ewga.com	Preseason_Picks	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	15	0.015
visit_www.ewga.com	Preseason_Picks	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	5	0.005
visit_www.ewga.com	Preseason_Picks	WITH_RESPECT	E_CigaretteDirect_LLC	2	0.002
visit_www.ewga.com	Preseason_Picks	Mark_Abramson_MEDIANEWS	silks_velvets	5	0.005
visit_www.ewga.com	Preseason_Picks	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	12	0.012
visit_www.ewga.com	Preseason_Picks	silks_velvets	Mark_Abramson_MEDIANEWS	7	0.007
visit_www.ewga.com	Preseason_Picks	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	8	0.008
visit_www.ewga.com	Preseason_Picks	E_CigaretteDirect_LLC	visit_www.ewga.com	5	0.005
visit_www.ewga.com	Preseason_Picks	WITH_RESPECT	Grupo_Herdez	2	0.002
visit_www.ewga.com	Preseason_Picks	SIGNIFICANCE_OF	visit_www.ewga.com	9	0.009
visit_www.ewga.com	Preseason_Picks	visit_www.ewga.com	puerto	1	0.001
visit_www.ewga.com	Preseason_Picks	Grupo_Herdez	puerto	1	0.001
visit_www.ewga.com	Preseason_Picks	puerto	Grupo_Herdez	2	0.002
visit_www.ewga.com	Preseason_Picks	E_CigaretteDirect_LLC	Grupo_Herdez	1	0.001
visit_www.ewga.com	Preseason_Picks	SIGNIFICANCE_OF	silks_velvets	2	0.002
visit_www.ewga.com	Preseason_Picks	silks_velvets	SIGNIFICANCE_OF	1	0.001
visit_www.ewga.com	Preseason_Picks	visit_www.ewga.com	Grupo_Herdez	1	0.001
visit_www.ewga.com	Preseason_Picks	NA	NA	23	0.023
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	E_CigaretteDirect_LLC	57	0.057
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	visit_www.ewga.com	318	0.318
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	WITH_RESPECT	286	0.286
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	SIGNIFICANCE_OF	134	0.134
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	Mark_Abramson_MEDIANEWS	107	0.107
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	Grupo_Herdez	21	0.021
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	puerto	46	0.046
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	silks_velvets	8	0.008
Has_Changed_Forever	visit_www.ewga.com	NA	NA	23	0.023
Has_Changed_Forever	Preseason_Picks	sliced_ham	Mark_Abramson_MEDIANEWS	73	0.073
Has_Changed_Forever	Preseason_Picks	sliced_ham	silks_velvets	17	0.017
Has_Changed_Forever	Preseason_Picks	sliced_ham	puerto	86	0.086
Has_Changed_Forever	Preseason_Picks	sliced_ham	Grupo_Herdez	61	0.061
Has_Changed_Forever	Preseason_Picks	sliced_ham	visit_www.ewga.com	278	0.278
Has_Changed_Forever	Preseason_Picks	sliced_ham	WITH_RESPECT	291	0.291
Has_Changed_Forever	Preseason_Picks	sliced_ham	SIGNIFICANCE_OF	67	0.067
Has_Changed_Forever	Preseason_Picks	sliced_ham	E_CigaretteDirect_LLC	104	0.104
Has_Changed_Forever	Preseason_Picks	NA	NA	23	0.023
