B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	visit_www.ewga.com	422	0.422
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	E_CigaretteDirect_LLC	33	0.033
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	WITH_RESPECT	223	0.223
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	puerto	27	0.027
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Grupo_Herdez	19	0.019
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	SIGNIFICANCE_OF	151	0.151
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Mark_Abramson_MEDIANEWS	82	0.082
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	silks_velvets	11	0.011
Has_Changed_Forever	rookie_Alex_Prugh	NA	NA	32	0.032
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	WITH_RESPECT	293	0.293
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	Mark_Abramson_MEDIANEWS	51	0.051
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	visit_www.ewga.com	467	0.467
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	SIGNIFICANCE_OF	152	0.152
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	E_CigaretteDirect_LLC	3	0.003
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	Grupo_Herdez	1	0.001
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	puerto	1	0.001
Has_Changed_Forever	visit_www.ewga.com	NA	NA	32	0.032
visit_www.ewga.com	rookie_Alex_Prugh	WITH_RESPECT	visit_www.ewga.com	279	0.279
visit_www.ewga.com	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	20	0.02
visit_www.ewga.com	rookie_Alex_Prugh	visit_www.ewga.com	WITH_RESPECT	223	0.223
visit_www.ewga.com	rookie_Alex_Prugh	SIGNIFICANCE_OF	puerto	23	0.023
visit_www.ewga.com	rookie_Alex_Prugh	SIGNIFICANCE_OF	visit_www.ewga.com	115	0.115
visit_www.ewga.com	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	Grupo_Herdez	3	0.003
visit_www.ewga.com	rookie_Alex_Prugh	visit_www.ewga.com	SIGNIFICANCE_OF	151	0.151
visit_www.ewga.com	rookie_Alex_Prugh	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	82	0.082
visit_www.ewga.com	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	silks_velvets	2	0.002
visit_www.ewga.com	rookie_Alex_Prugh	SIGNIFICANCE_OF	Grupo_Herdez	11	0.011
visit_www.ewga.com	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	26	0.026
visit_www.ewga.com	rookie_Alex_Prugh	WITH_RESPECT	silks_velvets	9	0.009
visit_www.ewga.com	rookie_Alex_Prugh	visit_www.ewga.com	puerto	2	0.002
visit_www.ewga.com	rookie_Alex_Prugh	visit_www.ewga.com	E_CigaretteDirect_LLC	8	0.008
visit_www.ewga.com	rookie_Alex_Prugh	WITH_RESPECT	puerto	2	0.002
visit_www.ewga.com	rookie_Alex_Prugh	E_CigaretteDirect_LLC	Grupo_Herdez	2	0.002
visit_www.ewga.com	rookie_Alex_Prugh	WITH_RESPECT	E_CigaretteDirect_LLC	2	0.002
visit_www.ewga.com	rookie_Alex_Prugh	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	3	0.003
visit_www.ewga.com	rookie_Alex_Prugh	visit_www.ewga.com	Grupo_Herdez	1	0.001
visit_www.ewga.com	rookie_Alex_Prugh	WITH_RESPECT	Grupo_Herdez	1	0.001
visit_www.ewga.com	rookie_Alex_Prugh	Grupo_Herdez	visit_www.ewga.com	1	0.001
visit_www.ewga.com	rookie_Alex_Prugh	puerto	Grupo_Herdez	1	0.001
visit_www.ewga.com	rookie_Alex_Prugh	E_CigaretteDirect_LLC	visit_www.ewga.com	1	0.001
visit_www.ewga.com	rookie_Alex_Prugh	NA	NA	32	0.032
