B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,美しい,140,0.14
踊り子,揺れる,蝶,儚い,250,0.25
踊り子,揺れる,蝶,飛ぶ,181,0.181
踊り子,揺れる,蝶,空,78,0.078
踊り子,揺れる,蝶,舞う,76,0.076
踊り子,揺れる,蝶,女性,64,0.064
踊り子,揺れる,蝶,花,17,0.017
踊り子,揺れる,蝶,羽,17,0.017
踊り子,揺れる,NA,NA,177,0.177
踊り子,スカート,蝶,飛ぶ,111,0.111
踊り子,スカート,蝶,女性,211,0.211
踊り子,スカート,蝶,儚い,54,0.054
踊り子,スカート,蝶,花,41,0.041
踊り子,スカート,蝶,美しい,150,0.15
踊り子,スカート,蝶,羽,92,0.092
踊り子,スカート,蝶,空,97,0.097
踊り子,スカート,蝶,舞う,67,0.067
踊り子,スカート,NA,NA,177,0.177
スカート,揺れる,飛ぶ,美しい,18,0.018
スカート,揺れる,女性,儚い,96,0.096
スカート,揺れる,儚い,飛ぶ,31,0.031
スカート,揺れる,花,飛ぶ,21,0.021
スカート,揺れる,美しい,飛ぶ,56,0.056
スカート,揺れる,羽,儚い,19,0.019
スカート,揺れる,空,美しい,40,0.04
スカート,揺れる,飛ぶ,儚い,62,0.062
スカート,揺れる,羽,美しい,27,0.027
スカート,揺れる,美しい,空,44,0.044
スカート,揺れる,女性,舞う,39,0.039
スカート,揺れる,儚い,空,5,0.005
スカート,揺れる,花,儚い,12,0.012
スカート,揺れる,美しい,女性,19,0.019
スカート,揺れる,女性,美しい,35,0.035
スカート,揺れる,飛ぶ,花,10,0.01
スカート,揺れる,舞う,儚い,21,0.021
スカート,揺れる,舞う,美しい,14,0.014
スカート,揺れる,儚い,女性,7,0.007
スカート,揺れる,羽,飛ぶ,20,0.02
スカート,揺れる,空,飛ぶ,15,0.015
スカート,揺れる,女性,飛ぶ,34,0.034
スカート,揺れる,舞う,空,13,0.013
スカート,揺れる,舞う,飛ぶ,4,0.004
スカート,揺れる,羽,女性,13,0.013
スカート,揺れる,飛ぶ,空,5,0.005
スカート,揺れる,花,空,3,0.003
スカート,揺れる,舞う,女性,10,0.01
スカート,揺れる,飛ぶ,女性,11,0.011
スカート,揺れる,空,儚い,30,0.03
スカート,揺れる,美しい,花,1,0.001
スカート,揺れる,儚い,舞う,6,0.006
スカート,揺れる,空,女性,3,0.003
スカート,揺れる,美しい,儚い,10,0.01
スカート,揺れる,飛ぶ,舞う,3,0.003
スカート,揺れる,女性,花,2,0.002
スカート,揺れる,羽,花,1,0.001
スカート,揺れる,美しい,舞う,13,0.013
スカート,揺れる,羽,舞う,7,0.007
スカート,揺れる,美しい,羽,7,0.007
スカート,揺れる,舞う,花,1,0.001
スカート,揺れる,儚い,美しい,4,0.004
スカート,揺れる,空,舞う,6,0.006
スカート,揺れる,女性,羽,2,0.002
スカート,揺れる,舞う,羽,4,0.004
スカート,揺れる,飛ぶ,羽,2,0.002
スカート,揺れる,花,女性,1,0.001
スカート,揺れる,女性,空,3,0.003
スカート,揺れる,花,美しい,2,0.002
スカート,揺れる,羽,空,5,0.005
スカート,揺れる,空,花,2,0.002
スカート,揺れる,花,舞う,2,0.002
スカート,揺れる,空,羽,1,0.001
スカート,揺れる,儚い,羽,1,0.001
スカート,揺れる,NA,NA,177,0.177
