B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,美しい,96,0.096
踊り子,舞台,蝶,花,50,0.05
踊り子,舞台,蝶,舞う,111,0.111
踊り子,舞台,蝶,空,90,0.09
踊り子,舞台,蝶,女性,97,0.097
踊り子,舞台,蝶,儚い,104,0.104
踊り子,舞台,蝶,飛ぶ,75,0.075
踊り子,舞台,蝶,羽,25,0.025
踊り子,舞台,NA,NA,352,0.352
踊り子,スカート,蝶,女性,206,0.206
踊り子,スカート,蝶,美しい,82,0.082
踊り子,スカート,蝶,飛ぶ,76,0.076
踊り子,スカート,蝶,花,46,0.046
踊り子,スカート,蝶,舞う,57,0.057
踊り子,スカート,蝶,空,62,0.062
踊り子,スカート,蝶,羽,92,0.092
踊り子,スカート,蝶,儚い,27,0.027
踊り子,スカート,NA,NA,352,0.352
スカート,舞台,女性,美しい,24,0.024
スカート,舞台,女性,花,18,0.018
スカート,舞台,女性,舞う,51,0.051
スカート,舞台,美しい,空,25,0.025
スカート,舞台,飛ぶ,女性,28,0.028
スカート,舞台,女性,空,33,0.033
スカート,舞台,花,空,6,0.006
スカート,舞台,舞う,儚い,4,0.004
スカート,舞台,舞う,空,6,0.006
スカート,舞台,飛ぶ,舞う,2,0.002
スカート,舞台,空,美しい,17,0.017
スカート,舞台,羽,飛ぶ,11,0.011
スカート,舞台,花,儚い,6,0.006
スカート,舞台,儚い,空,5,0.005
スカート,舞台,美しい,儚い,4,0.004
スカート,舞台,花,女性,9,0.009
スカート,舞台,空,儚い,12,0.012
スカート,舞台,羽,美しい,15,0.015
スカート,舞台,女性,儚い,40,0.04
スカート,舞台,飛ぶ,美しい,19,0.019
スカート,舞台,美しい,花,7,0.007
スカート,舞台,花,舞う,11,0.011
スカート,舞台,女性,飛ぶ,31,0.031
スカート,舞台,花,飛ぶ,8,0.008
スカート,舞台,美しい,飛ぶ,15,0.015
スカート,舞台,羽,空,9,0.009
スカート,舞台,美しい,女性,10,0.01
スカート,舞台,花,美しい,5,0.005
スカート,舞台,舞う,花,5,0.005
スカート,舞台,美しい,舞う,14,0.014
スカート,舞台,飛ぶ,花,7,0.007
スカート,舞台,女性,羽,9,0.009
スカート,舞台,儚い,美しい,2,0.002
スカート,舞台,羽,儚い,26,0.026
スカート,舞台,舞う,女性,19,0.019
スカート,舞台,飛ぶ,儚い,12,0.012
スカート,舞台,空,女性,15,0.015
スカート,舞台,空,飛ぶ,2,0.002
スカート,舞台,羽,舞う,20,0.02
スカート,舞台,舞う,飛ぶ,6,0.006
スカート,舞台,空,舞う,9,0.009
スカート,舞台,儚い,飛ぶ,2,0.002
スカート,舞台,飛ぶ,空,6,0.006
スカート,舞台,儚い,女性,10,0.01
スカート,舞台,舞う,美しい,14,0.014
スカート,舞台,儚い,舞う,4,0.004
スカート,舞台,空,花,6,0.006
スカート,舞台,羽,花,5,0.005
スカート,舞台,羽,女性,6,0.006
スカート,舞台,舞う,羽,3,0.003
スカート,舞台,美しい,羽,7,0.007
スカート,舞台,儚い,花,2,0.002
スカート,舞台,儚い,羽,2,0.002
スカート,舞台,花,羽,1,0.001
スカート,舞台,飛ぶ,羽,2,0.002
スカート,舞台,空,羽,1,0.001
スカート,舞台,NA,NA,352,0.352
