B_dom,B_cod,A_dom,A_cod,count,probability
女性,スカート,羽,空,33,0.033
女性,スカート,女性,飛ぶ,38,0.038
女性,スカート,美しい,女性,67,0.067
女性,スカート,女性,舞う,55,0.055
女性,スカート,女性,美しい,105,0.105
女性,スカート,美しい,飛ぶ,36,0.036
女性,スカート,花,飛ぶ,48,0.048
女性,スカート,美しい,舞う,12,0.012
女性,スカート,舞う,羽,16,0.016
女性,スカート,儚い,羽,3,0.003
女性,スカート,女性,羽,24,0.024
女性,スカート,舞う,女性,25,0.025
女性,スカート,羽,女性,27,0.027
女性,スカート,女性,花,17,0.017
女性,スカート,花,舞う,12,0.012
女性,スカート,空,花,3,0.003
女性,スカート,花,儚い,7,0.007
女性,スカート,美しい,空,19,0.019
女性,スカート,儚い,飛ぶ,18,0.018
女性,スカート,舞う,儚い,13,0.013
女性,スカート,舞う,美しい,15,0.015
女性,スカート,羽,美しい,21,0.021
女性,スカート,花,女性,30,0.03
女性,スカート,空,儚い,5,0.005
女性,スカート,美しい,羽,19,0.019
女性,スカート,羽,花,4,0.004
女性,スカート,女性,空,22,0.022
女性,スカート,花,美しい,13,0.013
女性,スカート,羽,飛ぶ,28,0.028
女性,スカート,飛ぶ,女性,4,0.004
女性,スカート,飛ぶ,美しい,9,0.009
女性,スカート,空,舞う,3,0.003
女性,スカート,儚い,空,13,0.013
女性,スカート,美しい,儚い,5,0.005
女性,スカート,儚い,女性,16,0.016
女性,スカート,空,美しい,8,0.008
女性,スカート,女性,儚い,11,0.011
女性,スカート,空,羽,4,0.004
女性,スカート,儚い,舞う,6,0.006
女性,スカート,羽,儚い,2,0.002
女性,スカート,飛ぶ,儚い,3,0.003
女性,スカート,花,羽,5,0.005
女性,スカート,美しい,花,5,0.005
女性,スカート,花,空,9,0.009
女性,スカート,舞う,空,8,0.008
女性,スカート,飛ぶ,花,3,0.003
女性,スカート,儚い,花,6,0.006
女性,スカート,舞う,花,2,0.002
女性,スカート,羽,舞う,6,0.006
女性,スカート,空,女性,2,0.002
女性,スカート,飛ぶ,羽,4,0.004
女性,スカート,空,飛ぶ,1,0.001
女性,スカート,舞う,飛ぶ,2,0.002
女性,スカート,飛ぶ,舞う,2,0.002
女性,スカート,飛ぶ,空,1,0.001
女性,スカート,NA,NA,125,0.125
踊り子,女性,蝶,羽,121,0.121
踊り子,女性,蝶,女性,272,0.272
踊り子,女性,蝶,美しい,163,0.163
踊り子,女性,蝶,花,124,0.124
踊り子,女性,蝶,舞う,81,0.081
踊り子,女性,蝶,儚い,62,0.062
踊り子,女性,蝶,空,26,0.026
踊り子,女性,蝶,飛ぶ,26,0.026
踊り子,女性,NA,NA,125,0.125
踊り子,スカート,蝶,空,105,0.105
踊り子,スカート,蝶,飛ぶ,171,0.171
踊り子,スカート,蝶,女性,171,0.171
踊り子,スカート,蝶,舞う,96,0.096
踊り子,スカート,蝶,美しい,171,0.171
踊り子,スカート,蝶,羽,75,0.075
踊り子,スカート,蝶,花,40,0.04
踊り子,スカート,蝶,儚い,46,0.046
踊り子,スカート,NA,NA,125,0.125
