B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,美しい,65,0.065
踊り子,揺れる,蝶,花,10,0.01
踊り子,揺れる,蝶,儚い,293,0.293
踊り子,揺れる,蝶,飛ぶ,225,0.225
踊り子,揺れる,蝶,女性,87,0.087
踊り子,揺れる,蝶,空,112,0.112
踊り子,揺れる,蝶,舞う,124,0.124
踊り子,揺れる,蝶,羽,16,0.016
踊り子,揺れる,NA,NA,68,0.068
踊り子,女性,蝶,花,124,0.124
踊り子,女性,蝶,女性,412,0.412
踊り子,女性,蝶,舞う,52,0.052
踊り子,女性,蝶,羽,160,0.16
踊り子,女性,蝶,美しい,102,0.102
踊り子,女性,蝶,儚い,47,0.047
踊り子,女性,蝶,飛ぶ,21,0.021
踊り子,女性,蝶,空,14,0.014
踊り子,女性,NA,NA,68,0.068
女性,揺れる,花,美しい,9,0.009
女性,揺れる,女性,花,7,0.007
女性,揺れる,女性,儚い,149,0.149
女性,揺れる,女性,飛ぶ,105,0.105
女性,揺れる,花,儚い,43,0.043
女性,揺れる,女性,美しい,15,0.015
女性,揺れる,舞う,女性,15,0.015
女性,揺れる,舞う,美しい,9,0.009
女性,揺れる,舞う,儚い,21,0.021
女性,揺れる,羽,飛ぶ,24,0.024
女性,揺れる,美しい,空,50,0.05
女性,揺れる,儚い,空,6,0.006
女性,揺れる,美しい,飛ぶ,28,0.028
女性,揺れる,飛ぶ,女性,9,0.009
女性,揺れる,羽,儚い,65,0.065
女性,揺れる,儚い,飛ぶ,24,0.024
女性,揺れる,空,儚い,8,0.008
女性,揺れる,女性,空,30,0.03
女性,揺れる,女性,舞う,102,0.102
女性,揺れる,羽,美しい,26,0.026
女性,揺れる,花,飛ぶ,44,0.044
女性,揺れる,美しい,女性,19,0.019
女性,揺れる,空,美しい,2,0.002
女性,揺れる,舞う,空,3,0.003
女性,揺れる,羽,舞う,22,0.022
女性,揺れる,儚い,女性,14,0.014
女性,揺れる,花,空,14,0.014
女性,揺れる,美しい,羽,5,0.005
女性,揺れる,飛ぶ,儚い,7,0.007
女性,揺れる,飛ぶ,美しい,4,0.004
女性,揺れる,羽,空,9,0.009
女性,揺れる,花,女性,14,0.014
女性,揺れる,空,羽,1,0.001
女性,揺れる,羽,女性,13,0.013
女性,揺れる,舞う,羽,2,0.002
女性,揺れる,空,女性,3,0.003
女性,揺れる,羽,花,1,0.001
女性,揺れる,女性,羽,4,0.004
女性,揺れる,儚い,羽,3,0.003
女性,揺れる,舞う,花,2,0.002
女性,揺れる,飛ぶ,羽,1,0.001
女性,揺れる,NA,NA,68,0.068
