B_dom,B_cod,A_dom,A_cod,count,probability
女性,踊り,女性,花,116,0.116
女性,踊り,女性,儚い,14,0.014
女性,踊り,舞う,羽,30,0.03
女性,踊り,舞う,花,37,0.037
女性,踊り,空,女性,1,0.001
女性,踊り,羽,花,80,0.08
女性,踊り,儚い,花,39,0.039
女性,踊り,女性,美しい,47,0.047
女性,踊り,花,空,35,0.035
女性,踊り,美しい,飛ぶ,13,0.013
女性,踊り,花,羽,28,0.028
女性,踊り,羽,舞う,55,0.055
女性,踊り,美しい,羽,16,0.016
女性,踊り,美しい,花,60,0.06
女性,踊り,飛ぶ,美しい,2,0.002
女性,踊り,空,花,18,0.018
女性,踊り,女性,飛ぶ,6,0.006
女性,踊り,飛ぶ,花,17,0.017
女性,踊り,舞う,美しい,13,0.013
女性,踊り,花,舞う,46,0.046
女性,踊り,美しい,舞う,41,0.041
女性,踊り,女性,舞う,48,0.048
女性,踊り,羽,空,10,0.01
女性,踊り,美しい,女性,5,0.005
女性,踊り,飛ぶ,羽,6,0.006
女性,踊り,女性,羽,26,0.026
女性,踊り,儚い,舞う,24,0.024
女性,踊り,舞う,儚い,5,0.005
女性,踊り,空,舞う,4,0.004
女性,踊り,儚い,美しい,5,0.005
女性,踊り,花,飛ぶ,11,0.011
女性,踊り,舞う,空,7,0.007
女性,踊り,美しい,空,4,0.004
女性,踊り,女性,空,3,0.003
女性,踊り,羽,飛ぶ,13,0.013
女性,踊り,花,儚い,6,0.006
女性,踊り,羽,美しい,9,0.009
女性,踊り,儚い,女性,3,0.003
女性,踊り,羽,女性,8,0.008
女性,踊り,美しい,儚い,4,0.004
女性,踊り,儚い,空,8,0.008
女性,踊り,舞う,飛ぶ,6,0.006
女性,踊り,儚い,飛ぶ,4,0.004
女性,踊り,空,羽,4,0.004
女性,踊り,儚い,羽,1,0.001
女性,踊り,花,美しい,5,0.005
女性,踊り,飛ぶ,儚い,2,0.002
女性,踊り,花,女性,4,0.004
女性,踊り,飛ぶ,舞う,2,0.002
女性,踊り,空,飛ぶ,1,0.001
女性,踊り,NA,NA,48,0.048
踊り子,女性,蝶,女性,260,0.26
踊り子,女性,蝶,舞う,98,0.098
踊り子,女性,蝶,空,28,0.028
踊り子,女性,蝶,羽,175,0.175
踊り子,女性,蝶,儚い,84,0.084
踊り子,女性,蝶,花,135,0.135
踊り子,女性,蝶,美しい,143,0.143
踊り子,女性,蝶,飛ぶ,29,0.029
踊り子,女性,NA,NA,48,0.048
踊り子,踊り,蝶,花,367,0.367
踊り子,踊り,蝶,儚い,31,0.031
踊り子,踊り,蝶,羽,111,0.111
踊り子,踊り,蝶,女性,21,0.021
踊り子,踊り,蝶,美しい,81,0.081
踊り子,踊り,蝶,空,67,0.067
踊り子,踊り,蝶,飛ぶ,54,0.054
踊り子,踊り,蝶,舞う,220,0.22
踊り子,踊り,NA,NA,48,0.048
