B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,舞う,89,0.089
踊り子,揺れる,蝶,儚い,199,0.199
踊り子,揺れる,蝶,飛ぶ,150,0.15
踊り子,揺れる,蝶,美しい,221,0.221
踊り子,揺れる,蝶,羽,9,0.009
踊り子,揺れる,蝶,女性,51,0.051
踊り子,揺れる,蝶,空,70,0.07
踊り子,揺れる,蝶,花,6,0.006
踊り子,揺れる,NA,NA,205,0.205
踊り子,回る,蝶,飛ぶ,340,0.34
踊り子,回る,蝶,美しい,99,0.099
踊り子,回る,蝶,花,38,0.038
踊り子,回る,蝶,舞う,129,0.129
踊り子,回る,蝶,儚い,84,0.084
踊り子,回る,蝶,空,51,0.051
踊り子,回る,蝶,女性,13,0.013
踊り子,回る,蝶,羽,41,0.041
踊り子,回る,NA,NA,205,0.205
揺れる,回る,舞う,飛ぶ,47,0.047
揺れる,回る,儚い,飛ぶ,97,0.097
揺れる,回る,飛ぶ,美しい,53,0.053
揺れる,回る,儚い,花,19,0.019
揺れる,回る,儚い,舞う,46,0.046
揺れる,回る,舞う,儚い,22,0.022
揺れる,回る,美しい,飛ぶ,145,0.145
揺れる,回る,羽,飛ぶ,7,0.007
揺れる,回る,飛ぶ,空,25,0.025
揺れる,回る,美しい,舞う,34,0.034
揺れる,回る,女性,美しい,15,0.015
揺れる,回る,儚い,女性,1,0.001
揺れる,回る,飛ぶ,舞う,29,0.029
揺れる,回る,空,飛ぶ,32,0.032
揺れる,回る,儚い,羽,3,0.003
揺れる,回る,花,舞う,1,0.001
揺れる,回る,美しい,儚い,20,0.02
揺れる,回る,空,羽,11,0.011
揺れる,回る,花,飛ぶ,1,0.001
揺れる,回る,女性,儚い,14,0.014
揺れる,回る,舞う,美しい,9,0.009
揺れる,回る,儚い,美しい,18,0.018
揺れる,回る,女性,花,2,0.002
揺れる,回る,舞う,花,3,0.003
揺れる,回る,美しい,女性,7,0.007
揺れる,回る,空,儚い,5,0.005
揺れる,回る,飛ぶ,羽,15,0.015
揺れる,回る,飛ぶ,儚い,20,0.02
揺れる,回る,空,舞う,12,0.012
揺れる,回る,儚い,空,15,0.015
揺れる,回る,女性,羽,3,0.003
揺れる,回る,空,花,6,0.006
揺れる,回る,空,美しい,4,0.004
揺れる,回る,女性,舞う,6,0.006
揺れる,回る,舞う,空,5,0.005
揺れる,回る,美しい,花,4,0.004
揺れる,回る,飛ぶ,花,4,0.004
揺れる,回る,舞う,羽,2,0.002
揺れる,回る,女性,飛ぶ,11,0.011
揺れる,回る,美しい,羽,7,0.007
揺れる,回る,花,空,1,0.001
揺れる,回る,飛ぶ,女性,4,0.004
揺れる,回る,羽,舞う,1,0.001
揺れる,回る,羽,空,1,0.001
揺れる,回る,美しい,空,4,0.004
揺れる,回る,花,儚い,3,0.003
揺れる,回る,舞う,女性,1,0.001
揺れる,回る,NA,NA,205,0.205
