B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,飛ぶ,213,0.213
踊り子,揺れる,蝶,美しい,72,0.072
踊り子,揺れる,蝶,儚い,316,0.316
踊り子,揺れる,蝶,舞う,100,0.1
踊り子,揺れる,蝶,空,122,0.122
踊り子,揺れる,蝶,女性,71,0.071
踊り子,揺れる,蝶,花,17,0.017
踊り子,揺れる,蝶,羽,15,0.015
踊り子,揺れる,NA,NA,74,0.074
踊り子,女性,蝶,羽,142,0.142
踊り子,女性,蝶,舞う,66,0.066
踊り子,女性,蝶,女性,388,0.388
踊り子,女性,蝶,花,136,0.136
踊り子,女性,蝶,儚い,44,0.044
踊り子,女性,蝶,飛ぶ,29,0.029
踊り子,女性,蝶,美しい,104,0.104
踊り子,女性,蝶,空,17,0.017
踊り子,女性,NA,NA,74,0.074
揺れる,女性,飛ぶ,羽,23,0.023
揺れる,女性,美しい,羽,23,0.023
揺れる,女性,儚い,舞う,26,0.026
揺れる,女性,美しい,女性,15,0.015
揺れる,女性,舞う,女性,90,0.09
揺れる,女性,美しい,舞う,12,0.012
揺れる,女性,儚い,花,52,0.052
揺れる,女性,飛ぶ,女性,92,0.092
揺れる,女性,空,儚い,3,0.003
揺れる,女性,儚い,女性,149,0.149
揺れる,女性,飛ぶ,花,39,0.039
揺れる,女性,儚い,飛ぶ,18,0.018
揺れる,女性,飛ぶ,儚い,30,0.03
揺れる,女性,女性,飛ぶ,4,0.004
揺れる,女性,花,女性,15,0.015
揺れる,女性,空,羽,15,0.015
揺れる,女性,美しい,飛ぶ,7,0.007
揺れる,女性,儚い,羽,62,0.062
揺れる,女性,女性,美しい,17,0.017
揺れる,女性,美しい,花,11,0.011
揺れる,女性,女性,舞う,11,0.011
揺れる,女性,空,美しい,53,0.053
揺れる,女性,飛ぶ,美しい,29,0.029
揺れる,女性,空,女性,26,0.026
揺れる,女性,女性,空,3,0.003
揺れる,女性,羽,舞う,7,0.007
揺れる,女性,美しい,空,4,0.004
揺れる,女性,舞う,羽,10,0.01
揺れる,女性,儚い,空,9,0.009
揺れる,女性,空,花,17,0.017
揺れる,女性,女性,羽,9,0.009
揺れる,女性,女性,花,17,0.017
揺れる,女性,女性,儚い,10,0.01
揺れる,女性,羽,美しい,5,0.005
揺れる,女性,空,舞う,8,0.008
揺れる,女性,羽,儚い,1,0.001
揺れる,女性,羽,空,1,0.001
揺れる,女性,花,舞う,2,0.002
揺れる,女性,羽,女性,1,0.001
揺れる,女性,NA,NA,74,0.074
