B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,美しい,50,0.05
踊り子,揺れる,蝶,飛ぶ,255,0.255
踊り子,揺れる,蝶,舞う,81,0.081
踊り子,揺れる,蝶,空,81,0.081
踊り子,揺れる,蝶,女性,53,0.053
踊り子,揺れる,蝶,羽,9,0.009
踊り子,揺れる,蝶,儚い,121,0.121
踊り子,揺れる,蝶,花,7,0.007
踊り子,揺れる,NA,NA,343,0.343
踊り子,音楽,蝶,女性,259,0.259
踊り子,音楽,蝶,空,26,0.026
踊り子,音楽,蝶,美しい,131,0.131
踊り子,音楽,蝶,花,71,0.071
踊り子,音楽,蝶,儚い,101,0.101
踊り子,音楽,蝶,飛ぶ,34,0.034
踊り子,音楽,蝶,舞う,35,0.035
踊り子,音楽,NA,NA,343,0.343
揺れる,音楽,美しい,女性,5,0.005
揺れる,音楽,飛ぶ,空,2,0.002
揺れる,音楽,飛ぶ,美しい,43,0.043
揺れる,音楽,飛ぶ,女性,140,0.14
揺れる,音楽,舞う,花,3,0.003
揺れる,音楽,飛ぶ,儚い,44,0.044
揺れる,音楽,空,女性,40,0.04
揺れる,音楽,美しい,飛ぶ,5,0.005
揺れる,音楽,舞う,儚い,11,0.011
揺れる,音楽,女性,飛ぶ,4,0.004
揺れる,音楽,空,美しい,28,0.028
揺れる,音楽,舞う,女性,36,0.036
揺れる,音楽,女性,花,8,0.008
揺れる,音楽,羽,儚い,5,0.005
揺れる,音楽,飛ぶ,花,22,0.022
揺れる,音楽,美しい,空,9,0.009
揺れる,音楽,舞う,美しい,27,0.027
揺れる,音楽,儚い,花,27,0.027
揺れる,音楽,儚い,女性,36,0.036
揺れる,音楽,美しい,儚い,13,0.013
揺れる,音楽,空,儚い,8,0.008
揺れる,音楽,儚い,飛ぶ,23,0.023
揺れる,音楽,女性,美しい,15,0.015
揺れる,音楽,舞う,空,4,0.004
揺れる,音楽,美しい,舞う,10,0.01
揺れる,音楽,女性,儚い,18,0.018
揺れる,音楽,儚い,空,10,0.01
揺れる,音楽,美しい,花,8,0.008
揺れる,音楽,女性,舞う,8,0.008
揺れる,音楽,儚い,美しい,15,0.015
揺れる,音楽,飛ぶ,舞う,4,0.004
揺れる,音楽,花,女性,2,0.002
揺れる,音楽,空,舞う,3,0.003
揺れる,音楽,花,飛ぶ,2,0.002
揺れる,音楽,花,空,1,0.001
揺れる,音楽,空,花,2,0.002
揺れる,音楽,羽,美しい,3,0.003
揺れる,音楽,花,儚い,2,0.002
揺れる,音楽,儚い,舞う,10,0.01
揺れる,音楽,羽,花,1,0.001
揺れる,音楽,NA,NA,343,0.343
