	tri_edge	dom/cod	Storm_Launcher	Truckers_Protest	Elese_Daniel	Dortmunder_Gold	metallic_leggings	Lisa_Hurunui	spincasting	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	NA
0	('Kilusang_Mayo_Uno', 'Chhatrapati_Shivaji_Maharaj')	Kilusang_Mayo_Uno	0	84	64	0	22	5	24	49	45	707
1	('Kilusang_Mayo_Uno', 'Chhatrapati_Shivaji_Maharaj')	Chhatrapati_Shivaji_Maharaj	0	9	17	74	59	9	52	24	49	707
2	('Kilusang_Mayo_Uno', 'Stock_Exchange_PAMP_Pampa')	Kilusang_Mayo_Uno	0	109	85	0	31	13	71	72	48	571
3	('Kilusang_Mayo_Uno', 'Stock_Exchange_PAMP_Pampa')	Stock_Exchange_PAMP_Pampa	0	112	29	11	51	68	20	19	119	571
4	('Kilusang_Mayo_Uno', 'Polanco_hyperextended')	Kilusang_Mayo_Uno	0	216	114	0	31	10	49	90	100	390
5	('Kilusang_Mayo_Uno', 'Polanco_hyperextended')	Polanco_hyperextended	0	102	183	71	32	46	21	75	80	390
6	('Kilusang_Mayo_Uno', 'SUTA')	Kilusang_Mayo_Uno	0	85	66	0	32	8	41	59	54	655
7	('Kilusang_Mayo_Uno', 'SUTA')	SUTA	0	89	71	0	0	54	23	44	64	655
8	('Kilusang_Mayo_Uno', 'Pandyan')	Kilusang_Mayo_Uno	0	105	56	0	19	8	34	46	46	686
9	('Kilusang_Mayo_Uno', 'Pandyan')	Pandyan	0	14	33	9	35	62	78	33	50	686
10	('Kilusang_Mayo_Uno', 'BÝA_Istanbul')	Kilusang_Mayo_Uno	0	99	75	0	37	8	56	76	63	586
11	('Kilusang_Mayo_Uno', 'BÝA_Istanbul')	BÝA_Istanbul	0	137	40	126	0	43	0	21	47	586
12	('Kilusang_Mayo_Uno', 'Syed_Ameer')	Kilusang_Mayo_Uno	0	104	50	0	40	2	31	57	61	655
13	('Kilusang_Mayo_Uno', 'Syed_Ameer')	Syed_Ameer	0	77	77	0	0	48	16	75	52	655
14	('Chhatrapati_Shivaji_Maharaj', 'Kilusang_Mayo_Uno')	Chhatrapati_Shivaji_Maharaj	0	14	18	81	55	12	53	21	64	682
15	('Chhatrapati_Shivaji_Maharaj', 'Kilusang_Mayo_Uno')	Kilusang_Mayo_Uno	0	102	61	0	28	5	29	55	38	682
16	('Chhatrapati_Shivaji_Maharaj', 'Stock_Exchange_PAMP_Pampa')	Chhatrapati_Shivaji_Maharaj	0	9	16	54	56	19	76	35	55	680
17	('Chhatrapati_Shivaji_Maharaj', 'Stock_Exchange_PAMP_Pampa')	Stock_Exchange_PAMP_Pampa	0	98	24	9	39	39	10	15	86	680
18	('Chhatrapati_Shivaji_Maharaj', 'Polanco_hyperextended')	Chhatrapati_Shivaji_Maharaj	0	15	13	104	104	24	68	43	81	548
19	('Chhatrapati_Shivaji_Maharaj', 'Polanco_hyperextended')	Polanco_hyperextended	0	102	127	43	36	26	45	38	35	548
20	('Chhatrapati_Shivaji_Maharaj', 'SUTA')	Chhatrapati_Shivaji_Maharaj	0	7	15	48	64	11	48	22	54	731
21	('Chhatrapati_Shivaji_Maharaj', 'SUTA')	SUTA	0	86	59	0	0	33	19	33	39	731
22	('Chhatrapati_Shivaji_Maharaj', 'Pandyan')	Chhatrapati_Shivaji_Maharaj	0	5	15	42	37	9	34	33	52	773
23	('Chhatrapati_Shivaji_Maharaj', 'Pandyan')	Pandyan	0	19	30	4	24	34	46	43	27	773
24	('Chhatrapati_Shivaji_Maharaj', 'BÝA_Istanbul')	Chhatrapati_Shivaji_Maharaj	0	8	8	59	72	15	65	18	61	694
25	('Chhatrapati_Shivaji_Maharaj', 'BÝA_Istanbul')	BÝA_Istanbul	0	96	30	80	0	31	0	25	44	694
26	('Chhatrapati_Shivaji_Maharaj', 'Syed_Ameer')	Chhatrapati_Shivaji_Maharaj	0	4	13	59	52	15	60	15	55	727
27	('Chhatrapati_Shivaji_Maharaj', 'Syed_Ameer')	Syed_Ameer	0	46	64	0	0	27	12	82	42	727
28	('Stock_Exchange_PAMP_Pampa', 'Kilusang_Mayo_Uno')	Stock_Exchange_PAMP_Pampa	0	93	28	15	60	52	19	17	101	615
29	('Stock_Exchange_PAMP_Pampa', 'Kilusang_Mayo_Uno')	Kilusang_Mayo_Uno	0	100	71	0	42	10	50	61	51	615
30	('Stock_Exchange_PAMP_Pampa', 'Chhatrapati_Shivaji_Maharaj')	Stock_Exchange_PAMP_Pampa	0	92	27	7	41	29	12	12	84	696
31	('Stock_Exchange_PAMP_Pampa', 'Chhatrapati_Shivaji_Maharaj')	Chhatrapati_Shivaji_Maharaj	0	5	18	69	57	20	59	22	54	696
32	('Stock_Exchange_PAMP_Pampa', 'Polanco_hyperextended')	Stock_Exchange_PAMP_Pampa	0	198	62	27	76	59	24	19	166	369
33	('Stock_Exchange_PAMP_Pampa', 'Polanco_hyperextended')	Polanco_hyperextended	0	93	137	67	100	72	98	37	27	369
34	('Stock_Exchange_PAMP_Pampa', 'SUTA')	Stock_Exchange_PAMP_Pampa	0	96	31	15	52	48	19	11	85	643
35	('Stock_Exchange_PAMP_Pampa', 'SUTA')	SUTA	0	91	60	0	0	60	38	53	55	643
36	('Stock_Exchange_PAMP_Pampa', 'Pandyan')	Stock_Exchange_PAMP_Pampa	0	109	23	12	36	34	13	13	76	684
37	('Stock_Exchange_PAMP_Pampa', 'Pandyan')	Pandyan	0	7	44	10	35	57	92	37	34	684
38	('Stock_Exchange_PAMP_Pampa', 'BÝA_Istanbul')	Stock_Exchange_PAMP_Pampa	0	111	43	15	52	48	19	17	97	598
39	('Stock_Exchange_PAMP_Pampa', 'BÝA_Istanbul')	BÝA_Istanbul	0	118	34	141	0	42	0	32	35	598
40	('Stock_Exchange_PAMP_Pampa', 'Syed_Ameer')	Stock_Exchange_PAMP_Pampa	0	86	25	16	53	49	26	7	105	633
41	('Stock_Exchange_PAMP_Pampa', 'Syed_Ameer')	Syed_Ameer	0	49	88	0	0	32	21	116	61	633
42	('Polanco_hyperextended', 'Kilusang_Mayo_Uno')	Polanco_hyperextended	0	104	161	57	28	49	33	80	80	408
43	('Polanco_hyperextended', 'Kilusang_Mayo_Uno')	Kilusang_Mayo_Uno	0	199	116	0	37	17	38	94	91	408
44	('Polanco_hyperextended', 'Chhatrapati_Shivaji_Maharaj')	Polanco_hyperextended	0	126	127	33	28	34	52	36	40	524
45	('Polanco_hyperextended', 'Chhatrapati_Shivaji_Maharaj')	Chhatrapati_Shivaji_Maharaj	0	14	30	104	94	13	100	27	94	524
46	('Polanco_hyperextended', 'Stock_Exchange_PAMP_Pampa')	Polanco_hyperextended	0	98	127	78	105	76	84	44	27	361
47	('Polanco_hyperextended', 'Stock_Exchange_PAMP_Pampa')	Stock_Exchange_PAMP_Pampa	0	215	54	32	85	62	28	20	143	361
48	('Polanco_hyperextended', 'SUTA')	Polanco_hyperextended	0	69	133	71	60	80	47	33	47	460
49	('Polanco_hyperextended', 'SUTA')	SUTA	0	145	125	0	0	62	38	70	100	460
50	('Polanco_hyperextended', 'Pandyan')	Polanco_hyperextended	0	92	134	64	39	38	35	31	45	522
51	('Polanco_hyperextended', 'Pandyan')	Pandyan	0	33	66	13	37	80	100	61	88	522
52	('Polanco_hyperextended', 'BÝA_Istanbul')	Polanco_hyperextended	0	64	115	37	116	75	95	63	28	407
