,tri_edge,dom/cod,舞う,飛ぶ,花,女性,空,美しい,儚い,羽,NA
0,"('踊り', '女性')",踊り,206,38,391,17,72,84,37,113,42
1,"('踊り', '女性')",女性,100,43,122,267,24,142,106,154,42
2,"('踊り', 'スカート')",踊り,193,53,325,17,50,58,37,110,157
3,"('踊り', 'スカート')",スカート,79,132,49,208,86,117,78,94,157
4,"('踊り', '夜')",踊り,217,42,378,19,41,58,33,82,130
5,"('踊り', '夜')",夜,100,89,42,44,337,60,145,53,130
6,"('踊り', '音楽')",踊り,203,30,261,13,30,61,25,60,317
7,"('踊り', '音楽')",音楽,63,20,97,134,26,218,125,0,317
8,"('踊り', '回る')",踊り,116,43,362,24,65,71,32,122,165
9,"('踊り', '回る')",回る,127,350,38,22,58,88,108,44,165
10,"('踊り', '揺れる')",踊り,125,67,361,35,79,65,42,137,89
11,"('踊り', '揺れる')",揺れる,68,211,18,86,76,159,275,18,89
12,"('踊り', '舞台')",踊り,132,49,278,12,64,54,22,113,276
13,"('踊り', '舞台')",舞台,144,94,51,44,106,154,111,20,276
14,"('女性', '踊り')",女性,98,29,135,260,28,143,84,175,48
15,"('女性', '踊り')",踊り,220,54,367,21,67,81,31,111,48
16,"('女性', 'スカート')",女性,81,26,124,272,26,163,62,121,125
17,"('女性', 'スカート')",スカート,96,171,40,171,105,171,46,75,125
18,"('女性', '夜')",女性,51,24,122,330,21,133,67,152,100
19,"('女性', '夜')",夜,89,140,51,80,218,85,181,56,100
20,"('女性', '音楽')",女性,74,30,102,236,17,94,36,119,292
21,"('女性', '音楽')",音楽,59,40,81,127,29,243,129,0,292
22,"('女性', '回る')",女性,22,14,78,545,6,17,14,161,143
23,"('女性', '回る')",回る,144,421,22,31,76,44,90,29,143
24,"('女性', '揺れる')",女性,52,21,124,412,14,102,47,160,68
25,"('女性', '揺れる')",揺れる,124,225,10,87,112,65,293,16,68
26,"('女性', '舞台')",女性,57,19,94,334,14,75,38,111,258
27,"('女性', '舞台')",舞台,161,94,52,54,118,120,112,31,258
28,"('スカート', '踊り')",スカート,68,145,60,191,91,140,71,94,140
29,"('スカート', '踊り')",踊り,193,59,321,25,69,64,36,93,140
30,"('スカート', '女性')",スカート,115,143,55,164,89,169,46,81,138
31,"('スカート', '女性')",女性,72,32,133,269,20,144,59,133,138
32,"('スカート', '夜')",スカート,75,84,40,255,61,123,55,98,209
33,"('スカート', '夜')",夜,69,133,45,79,204,50,139,72,209
34,"('スカート', '音楽')",スカート,61,113,37,171,90,54,23,81,370
35,"('スカート', '音楽')",音楽,45,23,86,180,28,146,122,0,370
36,"('スカート', '回る')",スカート,59,72,59,216,71,153,59,93,218
37,"('スカート', '回る')",回る,145,289,53,25,67,78,97,28,218
38,"('スカート', '揺れる')",スカート,67,111,41,211,97,150,54,92,177
39,"('スカート', '揺れる')",揺れる,76,181,17,64,78,140,250,17,177
40,"('スカート', '舞台')",スカート,57,76,46,206,62,82,27,92,352
41,"('スカート', '舞台')",舞台,111,75,50,97,90,96,104,25,352
42,"('夜', '踊り')",夜,118,94,29,27,341,103,135,47,106
43,"('夜', '踊り')",踊り,225,44,394,17,37,60,27,90,106
44,"('夜', '女性')",夜,133,128,36,70,239,80,152,67,95
45,"('夜', '女性')",女性,62,34,138,293,15,141,72,150,95
46,"('夜', 'スカート')",夜,84,102,35,89,224,50,143,68,205
47,"('夜', 'スカート')",スカート,73,93,67,253,66,118,48,77,205
48,"('夜', '音楽')",夜,78,111,35,50,211,21,80,62,352
49,"('夜', '音楽')",音楽,36,17,71,187,17,203,117,0,352
50,"('夜', '回る')",夜,54,81,50,114,162,75,145,111,208
51,"('夜', '回る')",回る,128,326,35,26,48,77,102,50,208
52,"('夜', '揺れる')",夜,55,128,48,58,263,72,106,97,173
53,"('夜', '揺れる')",揺れる,61,171,13,80,57,163,269,13,173
54,"('夜', '舞台')",夜,54,122,41,68,174,51,89,65,336
55,"('夜', '舞台')",舞台,144,66,47,58,69,124,136,20,336
56,"('音楽', '踊り')",音楽,54,32,103,122,36,222,116,0,315
57,"('音楽', '踊り')",踊り,218,29,262,13,20,47,26,70,315
58,"('音楽', '女性')",音楽,68,36,71,130,34,215,116,0,330
59,"('音楽', '女性')",女性,58,29,99,229,19,94,33,109,330
60,"('音楽', 'スカート')",音楽,41,29,69,180,34,134,132,0,381
61,"('音楽', 'スカート')",スカート,68,98,51,166,88,56,18,74,381
62,"('音楽', '夜')",音楽,36,35,58,169,13,186,112,0,391
63,"('音楽', '夜')",夜,85,103,23,49,191,21,82,55,391
64,"('音楽', '回る')",音楽,24,15,69,242,19,116,103,0,412
65,"('音楽', '回る')",回る,87,272,23,25,77,25,46,33,412
66,"('音楽', '揺れる')",音楽,47,23,78,244,39,136,101,0,332
67,"('音楽', '揺れる')",揺れる,81,205,8,75,95,56,132,16,332
68,"('音楽', '舞台')",音楽,34,22,67,135,28,138,90,0,486
69,"('音楽', '舞台')",舞台,122,68,42,47,57,97,65,16,486
70,"('回る', '踊り')",回る,148,366,41,25,49,62,114,38,157
71,"('回る', '踊り')",踊り,100,54,356,26,71,86,41,109,157
72,"('回る', '女性')",回る,158,396,30,21,64,53,104,41,133
73,"('回る', '女性')",女性,36,11,91,535,12,9,18,155,133
74,"('回る', 'スカート')",回る,137,302,38,21,59,82,97,36,228
75,"('回る', 'スカート')",スカート,56,75,67,223,79,135,52,85,228
76,"('回る', '夜')",回る,114,323,28,36,52,81,98,44,224
77,"('回る', '夜')",夜,55,83,41,98,179,77,149,94,224
78,"('回る', '音楽')",回る,114,261,30,20,73,19,53,40,390
79,"('回る', '音楽')",音楽,37,20,73,224,14,136,106,0,390
80,"('回る', '揺れる')",回る,154,330,32,19,68,86,80,22,209
81,"('回る', '揺れる')",揺れる,72,137,10,38,64,231,220,19,209
82,"('回る', '舞台')",回る,100,260,30,22,54,56,88,37,353
83,"('回る', '舞台')",舞台,100,58,53,66,84,130,129,27,353
84,"('揺れる', '踊り')",揺れる,83,194,10,81,94,134,276,19,109
85,"('揺れる', '踊り')",踊り,121,47,356,39,77,68,38,145,109
86,"('揺れる', '女性')",揺れる,100,213,17,71,122,72,316,15,74
87,"('揺れる', '女性')",女性,66,29,136,388,17,104,44,142,74
88,"('揺れる', 'スカート')",揺れる,75,158,9,69,83,125,282,14,185
89,"('揺れる', 'スカート')",スカート,64,118,40,221,88,146,49,89,185
90,"('揺れる', '夜')",揺れる,78,181,13,104,64,132,235,19,174
91,"('揺れる', '夜')",夜,73,107,42,60,240,77,124,103,174
92,"('揺れる', '音楽')",揺れる,81,255,7,53,81,50,121,9,343
93,"('揺れる', '音楽')",音楽,35,34,71,259,26,131,101,0,343
94,"('揺れる', '回る')",揺れる,89,150,6,51,70,221,199,9,205
95,"('揺れる', '回る')",回る,129,340,38,13,51,99,84,41,205
96,"('揺れる', '舞台')",揺れる,64,178,11,83,66,92,194,14,298
97,"('揺れる', '舞台')",舞台,110,91,45,88,108,132,106,22,298
98,"('舞台', '踊り')",舞台,142,97,45,53,130,117,103,19,294
99,"('舞台', '踊り')",踊り,147,36,245,18,61,68,20,111,294
100,"('舞台', '女性')",舞台,190,101,57,65,83,116,106,27,255
101,"('舞台', '女性')",女性,62,22,108,328,12,65,31,117,255
102,"('舞台', 'スカート')",舞台,126,85,52,71,66,116,110,23,351
103,"('舞台', 'スカート')",スカート,52,69,55,193,68,75,35,102,351
104,"('舞台', '夜')",舞台,115,82,62,64,85,145,126,27,294
105,"('舞台', '夜')",夜,55,106,37,88,181,57,107,75,294
106,"('舞台', '音楽')",舞台,121,55,30,43,58,87,83,23,500
107,"('舞台', '音楽')",音楽,29,21,70,124,20,156,80,0,500
108,"('舞台', '回る')",舞台,95,60,56,70,78,126,113,26,376
109,"('舞台', '回る')",回る,91,262,28,19,59,44,82,39,376
110,"('舞台', '揺れる')",舞台,122,75,53,87,89,106,106,31,331
111,"('舞台', '揺れる')",揺れる,62,167,10,75,79,84,172,20,331
